p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-357	回 国 的 本 来 的 目 的 是 为 了 写 毕 业 论 文 	3 
p2train-358	我 们 有 自 立 	3 
p2train-359	使 我 觉 得 很 自 傲 	1 
p2train-360	从 事 导 游 的 工 作 已 经 为 期 三 年 	10 11 
p2train-361	还 是 晚 吗 	1 2 
p2train-362	我 和 父 亲 的 性 格 较 不 一 样 	8 
p2train-363	我 没 有 学 了 	5 
p2train-364	特 此 希 望 对 经 理 一 职 提 出 申 请 	3 4 
p2train-365	有 可 能 在 公 共 场 所 很 多 人 抽 烟 的 话 	1 2 3 
p2train-366	人 是 社 会 之 动 物 	5 
p2train-367	我 觉 得 班 里 只 有 女 的 是 没 有 趣 儿 	10 
p2train-368	我 对 他 讲 的 课 很 感 到 兴 趣 了 	9 
p2train-369	在 一 个 人 的 时 候 	1 
p2train-370	这 些 就 写 这 些 吧 	1 2 
p2train-371	鲜 少 有 意 见 分 歧 的 时 候 	2 
p2train-372	甚 至 不 知 道 怎 么 跟 他 们 接 触 才 好 了 	15 
p2train-373	根 据 有 关 调 查 表 明 	7 8 
p2train-374	而 汉 语 又 是 每 个 华 人 上 学 时 的 学 的 第 二 语 言 时 	13 
p2train-375	让 观 众 们 解 决 从 社 会 给 他 们 的 压 力 	7 
p2train-376	这 个 考 试 对 我 来 说 非 常 重 要 的 	13 
p2train-377	每 个 假 期 都 去 了 旅 游 	7 
p2train-378	大 概 在 农 村 生 活 的 年 轻 人 的 大 多 数 这 样 想 着 	19 
p2train-379	的 确 是 个 高 等 动 物 	4 
p2train-380	政 府 进 行 这 项 措 施 是 一 项 有 效 率 的 行 动 	14 
p2train-381	大 多 数 的 公 司 都 位 在 城 里 	8 
p2train-382	我 认 为 “ 绿 色 食 品 ” 是 不 好 的 	11 
p2train-383	这 就 是 我 对 静 音 发 表 我 的 看 法 	10 
p2train-384	我 才 感 觉 到 了 生 活 的 重 要 性 	6 
p2train-385	因 此 他 重 视 了 孩 子 们 的 学 习 环 境 	6 
p2train-386	我 小 的 时 候 常 常 跟 奶 奶 发 生 问 题 了 	15 
p2train-387	本 人 及 本 公 司 名 荣 获 新 加 坡 企 业 协 会 所 颁 发 的 最 佳 企 业 管 理 及 最 佳 企 业 管 理 公 司 奖 	7 8 
p2train-388	要 避 免 个 人 的 吸 烟 给 社 会 带 来 有 害 的 影 响 	6 
p2train-389	我 认 为 解 决 饥 饿 问 题 比 吃 “ 绿 色 食 品 ” 还 更 重 要 	18 
p2train-390	那 么 交 钱 是 从 人 民 来 的 	2 3 
p2train-391	对 一 切 困 难 都 能 够 解 决 	1 
p2train-392	我 们 有 时 间 经 常 去 打 了 	10 
p2train-393	来 了 第 二 个 和 尚 的 时 候 也 没 不 发 生 什 么 问 题 	13 
p2train-394	左 边 的 文 中 已 提 出 了 世 界 上 的 有 几 亿 人 因 缺 少 粮 食 而 挨 饿 	13 
p2train-395	每 当 我 听 到 任 何 佛 理 	6 7 
p2train-396	我 小 学 的 时 候 很 羡 慕 她 们 了 	12 
p2train-397	现 在 全 世 界 上 有 减 少 吸 烟 人 数 的 社 会 趋 势 	6 
p2train-398	不 是 意 味 着 我 不 喜 欢 旧 的 歌 曲 	2 
p2train-399	在 世 界 上 大 部 分 的 人 一 致 认 为 	1 
p2train-400	最 近 几 年 中 日 之 间 之 的 交 易 很 火 	9 
p2train-401	所 以 有 点 儿 不 好 意 思 了 	10 
p2train-402	学 习 应 该 在 平 静 的 地 方 里 学 习 才 有 效 果 的 	11 
p2train-403	现 在 的 我 的 生 活 上 也 有 这 样 的 情 况 	3 
p2train-404	我 们 家 到 3 年 前 跟 一 般 家 庭 一 样 每 天 吃 一 般 食 品 	4 
p2train-405	以 后 他 也 会 这 样 做 对 待 父 母 	8 
p2train-406	我 也 去 东 南 亚 的 时 候 已 经 见 过 了 这 样 的 情 况 	2 
p2train-407	但 是 这 个 问 题 对 我 来 说 很 难 忍 受 的 	15 
p2train-408	而 申 请 服 装 模 特 儿 的 人 	1 
p2train-409	所 以 家 长 主 动 地 找 了 互 相 见 面 的 机 会 	9 
p2train-410	所 以 父 母 的 对 孩 子 的 影 响 力 也 很 强 	5 
p2train-411	那 时 四 周 往 往 都 是 女 的 	5 6 
p2train-412	这 是 第 一 次 给 你 写 信 的 吧 	10 
p2train-413	目 前 我 是 大 学 四 年 级 	4 
p2train-414	他 的 观 点 行 为 都 靠 这 时 候 学 习 的 部 分 	15 16 
p2train-415	上 述 提 的 礼 节 部 分 也 是 跟 它 有 相 同 	13 
p2train-416	有 的 坏 的 	4 
p2train-417	我 和 客 人 是 有 面 对 面 的 接 触 	5 
p2train-418	所 以 常 常 发 生 了 不 少 的 矛 盾 	7 
p2train-419	还 损 害 在 周 围 的 他 人 的 健 康 	4 
p2train-420	而 且 对 这 种 问 题 	3 
p2train-421	我 现 在 也 不 知 道 她 有 没 有 害 怕 的 事 情 或 者 想 哭 的 时 候 呢 	24 
p2train-422	我 们 的 年 领 要 学 习 	3 4 5 
p2train-423	而 是 承 认 男 女 分 班 的 	9 
p2train-424	所 以 我 是 说 静 音 对 人 体 有 影 响 	4 
p2train-425	俗 话 说 ： “ 失 败 是 成 功 的 之 母 ” 	11 
p2train-426	而 其 他 的 	1 
p2train-427	只 是 想 说 吸 烟 者 应 该 常 常 认 识 在 人 群 里 抽 烟 的 危 险 性 	10 11 
p2train-428	为 保 持 市 容 整 洁 需 要 的 就 是 文 明 道 德 	1 
p2train-429	每 个 人 过 一 辈 子 都 会 遇 到 挫 折 和 困 难 	4 
p2train-430	韩 国 古 代 时 候 有 人 说 ： 强 父 母 下 该 有 强 子 女 	5 6 
p2train-431	这 样 的 话 他 们 不 会 打 架 呢 	11 
p2train-432	使 我 脑 部 受 损 	1 
p2train-433	但 是 根 据 试 卷 上 的 短 消 息 来 说 	12 13 
p2train-434	我 希 望 这 个 三 个 和 尚 	5 
p2train-435	这 样 我 不 单 只 是 为 了 可 以 单 单 能 说 汉 语 	12 13 14 
p2train-436	在 公 共 场 所 上 	6 
p2train-437	当 然 每 个 人 的 性 格 不 一 样 的 	12 
p2train-438	为 了 保 护 环 境 而 美 观 	7 8 9 
p2train-439	应 该 最 先 考 虑 与 身 体 的 健 康 	7 
p2train-440	而 是 为 了 自 己 一 个 人 的 	3 4 
p2train-441	这 样 的 时 候 时 候 也 会 发 生 代 沟 问 题 	6 7 
p2train-442	我 国 家 的 一 位 环 境 保 护 者 正 在 进 行 了 “ 自 然 声 的 发 现 的 运 动 ” 	16 
p2train-443	所 以 我 觉 得 丈 夫 没 犯 了 故 意 杀 人 罪 	10 
p2train-444	我 自 己 想 听 着 你 们 的 谆 谆 教 诲 成 了 这 么 样 的 人 	4 
p2train-445	政 府 为 吸 烟 者 们 给 提 供 场 所 	8 
p2train-446	这 就 是 在 日 本 最 重 视 的 写 	10 
p2train-447	还 是 与 一 般 学 者 所 说 的 一 样 	1 2 
p2train-448	我 见 过 的 许 多 中 国 人 跟 我 交 流 时 少 不 了 在 中 国 有 名 的 韩 国 歌 手 的 话 题 	18 
p2train-449	就 是 躺 在 躺 在 床 上 不 能 动 	5 6 
p2train-450	在 世 界 各 国 为 人 们 举 办 戒 烟 活 动 	1 
p2train-451	不 知 道 了 你 们 对 我 多 么 重 要 	4 
p2train-452	我 自 己 从 小 就 开 始 喜 欢 听 流 行 歌 曲 	2 3 
p2train-453	但 是 主 要 根 源 还 是 因 为 男 女 分 班 的 	15 
p2train-454	选 择 是 “ 绿 色 食 品 ” 还 是 饥 饿 	3 
p2train-455	朋 友 很 客 气 地 感 谢 “ 谢 谢 ” 	9 10 11 12 
p2train-456	也 会 能 改 善 我 们 的 环 境 	2 
p2train-457	我 从 小 便 喜 欢 画 画 和 设 计 具 有 独 特 风 格 的 卡 通 人 物 	7 8 9 
p2train-458	让 自 己 奋 发 精 神 	6 7 
p2train-459	现 在 的 饥 饿 问 题 真 是 争 分 夺 秒 的 问 题 的 	17 
p2train-460	互 相 帮 助 是 人 们 的 生 活 的 关 键 	8 
p2train-461	朋 友 和 公 众 的 人 	6 7 
p2train-462	对 此 我 真 的 充 满 自 信 感 	10 
p2train-463	所 以 把 吸 烟 者 放 在 地 下 或 另 外 一 个 小 小 的 地 方 让 他 们 吸 烟 的 	26 
p2train-464	我 觉 得 对 这 个 部 分 有 点 儿 奇 怪 	4 
p2train-465	烟 是 对 人 的 生 活 当 中 可 以 没 有 的 东 西 	3 
p2train-466	我 都 知 道 您 这 样 做 多 么 累 	2 
p2train-467	我 的 眼 光 好 象 是 看 宇 宙 人 似 的 	12 13 
p2train-468	但 休 息 日 的 时 候 经 常 带 我 去 玩 了 	14 
p2train-469	都 是 第 一 次 的 	6 
p2train-470	人 际 交 流 的 方 法 只 能 朋 友 教 的 	13 
p2train-471	希 望 大 家 可 以 从 这 吸 取 一 些 知 识 和 教 训 	13 14 15 
p2train-472	绿 色 食 品 是 没 有 化 学 污 染 	5 
p2train-473	这 就 是 九 三 年 的 九 月 	2 
p2train-474	而 有 的 人 可 能 对 农 药 有 过 敏 	10 
p2train-475	他 二 十 三 岁 的 时 候 跟 妈 妈 结 了 婚 了 	15 
p2train-476	我 想 现 在 高 中 生 那 么 大 的 孩 子 们 的 思 想 行 为 很 乱 	18 19 
p2train-477	对 人 的 吃 	1 
p2train-478	可 是 这 样 是 好 的 办 法 了 	10 
p2train-479	在 这 个 方 面 上 	6 
p2train-480	因 此 我 们 的 观 念 大 体 上 未 必 能 为 他 们 所 接 受 	8 9 10 
p2train-481	有 不 少 原 于 恋 爱 而 被 流 行 的 	9 
p2train-482	我 同 意 这 某 市 政 府 实 施 的 惩 罚 措 施 	4 
p2train-483	记 对 我 影 响 最 大 的 一 个 人 是 我 的 二 哥 	1 
p2train-484	可 我 却 不 懂 这 些 的 话 	8 
p2train-485	我 想 应 聘 当 贵 公 司 的 导 游 	5 
p2train-486	在 这 么 多 种 方 式 中 	2 3 
p2train-487	租 下 了 五 年 的 房 子 	2 
p2train-488	反 而 虽 有 很 多 好 处 	3 
p2train-489	和 尚 们 的 努 力 终 于 使 到 庙 的 周 围 出 现 了 不 少 口 井 	10 
p2train-490	对 人 的 情 绪 非 没 有 好 处 	6 
p2train-491	现 今 社 会 经 济 的 高 度 发 展 	7 
p2train-492	因 为 在 这 个 现 代 生 活 里 	4 5 
p2train-493	我 的 主 要 意 见 是 最 好 的 方 法 是 对 话 的 	16 
p2train-494	在 我 我 的 生 活 中 这 么 重 要 的 问 题 	3 
p2train-495	这 一 所 女 子 中 学 以 什 么 为 出 名 呢 	11 
p2train-496	我 在 一 个 餐 厅 里 做 服 务 员 了 	12 
p2train-497	一 点 也 没 开 始 做 	5 6 
p2train-498	这 意 味 着 人 一 个 人 活 不 下 去 	5 
p2train-499	我 辞 掉 那 个 公 司 已 经 过 了 六 年 了 	10 11 
p2train-500	他 对 哪 些 方 面 都 有 感 兴 趣 	8 
p2train-501	一 定 能 好 戒 烟 的 	4 
p2train-502	不 能 毕 业 了 	5 
p2train-503	但 是 长 辈 因 比 晚 辈 接 受 能 力 较 为 差 等 的 原 因 跟 不 上 晚 辈 们 的 朝 流 	14 
p2train-504	本 人 对 贵 公 司 胜 任 经 理 一 职 	7 8 
p2train-505	她 享 受 到 的 幸 福 是 很 少 	8 
p2train-506	因 为 那 时 的 我 的 生 活 中 	10 
p2train-507	吸 烟 对 个 人 健 康 和 公 众 利 益 的 影 响 非 常 的 不 好 	18 
p2train-508	可 是 这 个 是 不 对 	5 
p2train-509	这 样 更 危 害 对 孩 子 的 身 体 	6 
p2train-510	他 自 然 地 对 学 习 感 到 兴 趣 	9 
p2train-511	我 们 有 的 时 会 遇 到 让 人 觉 得 新 鲜 的 事 	4 
p2train-512	因 使 用 化 肥 和 农 药 	1 
p2train-513	因 这 个 问 题 我 常 常 对 妈 妈 生 气 	9 10 11 
p2train-514	我 赞 成 于 后 者 的 观 点 	4 
p2train-515	接 触 新 的 人 应 该 掌 握 适 合 他 们 的 语 言 	10 11 
p2train-516	但 包 括 我 的 父 母 和 周 围 的 人 比 我 痛 苦 	2 3 
p2train-517	怎 么 能 处 理 才 好 呢 	3 
p2train-518	在 我 们 社 会 发 生 了 翻 天 覆 地 的 变 化 	1 
p2train-519	由 于 生 活 的 困 难 	5 
p2train-520	“ 绿 色 食 品 ” 是 对 人 类 最 理 想 的 粮 食 	8 
p2train-521	在 农 村 里 打 工 	4 
p2train-522	却 现 在 已 经 习 惯 了 	1 
p2train-523	爸 爸 您 还 是 跟 我 哥 哥 一 起 工 作 还 是 您 一 个 人 	4 
p2train-524	还 学 会 了 在 其 他 别 人 没 有 的 东 西 	5 6 7 
p2train-525	不 要 随 便 给 了 一 个 诺 言 	6 
p2train-526	这 事 不 是 公 事 的 	7 
p2train-527	思 想 观 念 不 对 的 	7 
p2train-528	还 是 未 开 发 地 区 的 人 们 都 有 免 不 了 这 粮 食 不 足 的 问 题 	12 
p2train-529	彼 此 对 深 层 的 交 往 才 得 以 开 花 结 果 	3 
p2train-530	所 以 当 初 的 他 的 行 为 是 为 了 生 存 需 求 	5 
p2train-531	本 人 从 事 此 工 作 已 达 近 十 年 	10 
p2train-532	我 在 日 本 从 来 没 看 过 在 电 视 上 播 送 关 于 烟 的 广 告 	15 
p2train-533	我 们 不 能 只 吃 着 对 身 体 有 害 的 污 染 的 农 作 物 	7 
p2train-534	改 变 了 我 的 单 纯 的 生 活 	5 
p2train-535	我 老 实 的 说 	4 
p2train-536	妈 妈 常 对 孩 子 的 学 习 和 生 活 上 的 问 题 发 牢 骚 	7 
p2train-537	我 在 一 方 面 同 意 而 另 一 方 面 不 同 意 这 个 看 法 	2 
p2train-538	没 分 什 么 性 别 的 	7 
p2train-539	其 实 吸 烟 就 是 个 一 种 不 好 的 习 惯 	7 
p2train-540	记 对 我 影 响 最 大 的 人 就 是 我 的 父 亲 	1 
p2train-541	最 近 我 还 跟 我 的 朋 友 们 也 谈 了 这 些 事 情 	11 
p2train-542	更 需 要 我 的 帮 助 的 是 我 祖 母 	5 
p2train-543	一 直 都 在 语 言 学 院 学 习 的 	11 
p2train-544	一 起 学 书 法 的 	6 
p2train-545	到 他 旁 边 那 里 去 开 始 谈 话 	3 4 
p2train-546	所 以 对 这 此 话 题 有 一 点 敏 感 	4 
p2train-547	我 国 几 个 月 之 前 才 开 始 了 公 布 烟 对 健 康 的 坏 处 	11 
p2train-548	她 对 我 的 影 响 多 么 的 大 啊 	9 
p2train-549	又 没 有 人 吃 亏 的 	7 
p2train-550	当 前 资 讯 科 技 的 发 达 	7 
p2train-551	也 是 在 一 个 特 别 的 情 况 下 一 定 会 发 生 这 样 可 悲 的 事 情 	1 2 
p2train-552	是 因 为 靠 着 视 觉 理 解 意 思 	1 
p2train-553	我 都 听 得 见 所 有 的 声 音 	2 
p2train-554	父 母 世 代 也 应 该 努 力 	3 4 
p2train-555	过 一 天 被 她 发 现 了 这 件 事 时 	12 
p2train-556	此 时 此 刻 连 我 也 自 己 也 厌 恶 现 在 的 我 	7 
p2train-557	因 为 我 活 在 这 世 上 只 会 带 给 亲 人 不 便 而 连 累 的 他 们 	20 
p2train-558	我 一 下 班 就 看 起 汉 语 书 	7 
p2train-559	这 个 社 会 是 不 是 我 一 个 人 生 活 的 	5 
p2train-560	我 在 多 方 面 同 意 对 前 辈 的 意 见 	8 
p2train-561	从 中 更 说 明 了 许 多 道 理 	3 
p2train-562	“ 绿 色 食 品 ” 是 不 使 用 化 肥 和 农 药 	7 
p2train-563	我 发 觉 还 是 安 乐 死 是 不 对 的 	4 5 
p2train-564	“ 安 乐 死 ” 究 竟 可 不 可 取 在 于 要 看 哪 个 方 面 	12 13 
p2train-565	这 次 的 旅 游 成 为 对 我 们 学 汉 语 的 一 种 鼓 励 	8 
p2train-566	当 时 我 的 心 里 很 紧 张 	1 2 
p2train-567	母 亲 也 应 该 给 孩 子 教 体 面 的 东 西 好 	15 
p2train-568	但 是 晚 辈 觉 得 前 辈 是 太 保 守 	9 
p2train-569	许 多 人 们 根 本 生 活 在 一 些 不 求 实 际 的 范 围 里 	4 
p2train-570	相 反 子 女 也 忙 于 上 学 	1 2 
p2train-571	无 论 造 什 么 东 西 都 由 他 干 的 	12 
p2train-572	应 该 存 在 男 女 平 等 	3 4 
p2train-573	我 也 觉 得 不 管 多 少 个 人 合 作 就 很 重 要 	13 
p2train-574	我 想 被 判 为 杀 人 罪 的 人 的 目 的 是 害 别 人 或 通 过 杀 人 得 到 某 种 利 益 的 	29 
p2train-575	问 题 很 大 的 	5 
p2train-576	我 写 这 封 信 给 您 的 目 的 是 因 为 我 想 担 任 贵 公 司 的 广 告 设 计 师 	12 13 14 
p2train-577	对 我 来 说 流 行 歌 曲 是 没 有 个 性 的 一 个 文 化 的 产 物 	19 
p2train-578	我 很 激 动 了 	5 
p2train-579	学 生 到 了 这 个 时 期 的 心 智 还 不 够 成 熟 	9 
p2train-580	好 像 雪 一 样 白 雪 	7 
p2train-581	因 此 跟 他 们 去 过 了 很 多 地 方 	7 
p2train-582	我 深 信 能 胜 任 此 一 职 务 	8 
p2train-583	从 车 辆 比 较 好 的 车 到 不 好 的 	2 3 
p2train-584	请 爸 爸 保 重 身 体 以 免 像 过 去 那 时 一 样 倒 在 地 上 	13 14 
p2train-585	还 有 不 能 改 变 	1 2 
p2train-586	在 这 期 间 之 内 我 学 会 了 不 少 有 关 汉 语 的 知 识 	5 6 
p2train-587	不 大 同 意 于 男 女 分 班 	5 
p2train-588	对 公 众 利 益 的 方 面 的 影 响 	6 
p2train-589	这 没 关 系 的 	5 
p2train-590	社 会 都 存 在 的 	6 
p2train-591	一 种 是 病 人 和 病 人 的 家 族 的 方 面 	2 
p2train-592	这 因 为 是 上 述 所 谈 的 行 为 的 表 现 	2 3 
p2train-593	但 是 到 现 在 还 是 抽 很 多 烟 	3 
p2train-594	也 从 而 有 机 会 继 续 开 拓 我 的 工 作 前 景 及 发 展 	17 18 19 
p2train-595	但 也 有 些 年 轻 人 不 喜 欢 流 行 歌 曲 	1 
p2train-596	所 以 应 该 政 府 的 有 关 机 关 需 要 控 制 流 行 歌 曲 的 内 容 	3 4 
p2train-597	现 在 我 不 知 道 世 界 上 有 如 何 看 “ 安 乐 死 ” 	10 
p2train-598	你 可 以 在 不 侵 犯 对 方 或 任 何 人 的 权 力 的 情 况 下 可 以 自 由 地 爱 她 	21 22 
p2train-599	互 相 让 步 互 相 	5 6 
p2train-600	我 常 常 去 了 别 的 女 子 中 学 找 女 朋 友 	5 
p2train-601	对 在 生 活 上 确 实 方 便 	1 
p2train-602	国 家 成 员 们 的 总 体 代 沟 也 是 从 家 庭 来 原 的 	17 
p2train-603	如 果 不 能 解 决 最 少 也 可 以 减 少 代 沟 的 	16 
p2train-604	一 个 国 家 或 一 个 社 会 里 	10 
p2train-605	而 且 给 这 抽 烟 者 周 围 的 人 所 受 到 的 影 响 比 抽 烟 者 自 己 还 严 重 	3 
p2train-606	如 果 对 以 上 职 位 有 兴 趣 者 可 来 申 请 	1 2 
p2train-607	吸 烟 是 每 一 个 人 的 一 种 生 活 习 惯 	4 
p2train-608	我 经 常 听 说 过 吸 烟 给 人 们 带 来 的 各 种 坏 影 响 	6 
p2train-609	你 再 请 朋 友 了 	6 
p2train-610	我 们 俩 都 养 成 了 个 不 好 的 习 惯 	9 
p2train-611	这 对 贵 公 司 想 要 开 拓 日 本 的 市 场 有 一 定 的 帮 助 	6 7 
p2train-612	这 样 给 爸 妈 写 信 可 能 是 第 一 次 的 	14 
p2train-613	因 为 吃 的 好 不 好 是 不 是 个 大 事 	8 
p2train-614	要 不 然 就 不 是 解 决 问 题 了 	11 
p2train-615	吃 “ 绿 色 食 品 ” 还 是 是 最 好 的 选 择 	8 10 
p2train-616	二 十 世 纪 出 现 了 叫 做 “ 绿 色 食 品 ” 	8 9 
p2train-617	吸 烟 对 人 体 健 康 只 有 害 无 益 	8 
p2train-618	我 很 辛 苦 了 	5 
p2train-619	但 有 些 问 题 上 带 来 了 社 会 上 的 关 注 	6 
p2train-620	因 为 声 调 的 不 同 	5 
p2train-621	现 在 的 年 轻 人 和 上 一 辈 之 间 在 沟 通 方 面 上 有 了 问 题 	18 
p2train-622	我 感 觉 到 非 常 有 意 义 的 	10 
p2train-623	自 家 庭 教 育 	1 
p2train-624	这 个 真 让 人 无 法 有 个 性 的 	11 
p2train-625	第 三 个 原 因 是 减 少 吸 烟 者 人 口 	11 
p2train-626	在 汉 城 的 一 个 国 际 旅 游 公 司 里 当 导 游 工 作 了 	19 
p2train-627	可 是 这 种 的 态 度 真 不 好 	5 
p2train-628	在 电 视 的 节 目 上 也 大 大 减 少 吸 烟 的 场 面 	1 
p2train-629	这 一 本 领 正 是 你 们 教 给 的 	10 
p2train-630	所 以 一 次 失 败 了 也 没 关 系 	7 
p2train-631	您 们 对 我 来 说 没 关 系 	5 
p2train-632	学 会 电 脑 操 作 能 力 	7 8 
p2train-633	在 我 各 人 的 看 法 是 中 学 时 期 分 班 比 较 适 合 	1 
p2train-634	所 以 人 们 应 该 不 吸 烟 了 	10 
p2train-635	不 知 道 大 家 的 想 法 是 怎 么 样 	9 
p2train-636	儿 女 长 大 结 婚 了 就 各 自 在 自 己 的 小 屋 里 生 活 	18 19 
p2train-637	人 类 一 旦 意 识 到 问 题 就 可 以 解 决 问 题 的 	17 
p2train-638	我 一 定 要 报 答 您 吧 	8 
p2train-639	我 九 七 年 的 暑 假 第 一 次 去 海 外 旅 游 了 	16 
p2train-640	对 它 爱 不 释 手 的 	7 
p2train-641	此 类 条 列 是 极 应 被 那 些 有 决 心 想 禁 烟 以 维 护 公 众 利 益 的 政 府 所 效 法 的 	14 
